# GTA IV Functions extracted by Ghidra
# Format: address,name
0x821B5DE8,FUN_821b5de8
0x821B6B08,FUN_821b6b08
0x821B6BC0,FUN_821b6bc0
0x821B6E38,FUN_821b6e38
0x821B70E0,FUN_821b70e0
0x821B7140,FUN_821b7140
0x821B7150,FUN_821b7150
0x821B7218,FUN_821b7218
0x821B8528,FUN_821b8528
0x821B85B0,FUN_821b85b0
0x821B8958,FUN_821b8958
0x821B8A38,FUN_821b8a38
0x821B9DA8,FUN_821b9da8
0x821BA030,FUN_821ba030
0x821BA2B8,FUN_821ba2b8
0x821BA388,FUN_821ba388
0x821BA3D8,FUN_821ba3d8
0x821BA620,FUN_821ba620
0x821BA6C8,FUN_821ba6c8
0x821BAB48,FUN_821bab48
0x821BAD60,FUN_821bad60
0x821BAE50,FUN_821bae50
0x821BAEE0,FUN_821baee0
0x821BB0F0,FUN_821bb0f0
0x821BBA08,FUN_821bba08
0x821BBB88,FUN_821bbb88
0x821BBC30,FUN_821bbc30
0x821BBCD0,FUN_821bbcd0
0x821BBD10,FUN_821bbd10
0x821BC3D8,FUN_821bc3d8
0x821BC488,FUN_821bc488
0x821BC638,FUN_821bc638
0x821BC9E0,FUN_821bc9e0
0x821C1D20,FUN_821c1d20
0x821C1F70,FUN_821c1f70
0x821C2298,FUN_821c2298
0x821C28D8,FUN_821c28d8
0x821C2CC0,FUN_821c2cc0
0x821C4B20,FUN_821c4b20
0x821C81A0,FUN_821c81a0
0x821C8EF0,FUN_821c8ef0
0x821CBF08,FUN_821cbf08
0x821CBF60,FUN_821cbf60
0x821CC4F8,FUN_821cc4f8
0x821CCC88,FUN_821ccc88
0x821CCD50,FUN_821ccd50
0x821CD2C8,FUN_821cd2c8
0x821CEA00,FUN_821cea00
0x821CF178,FUN_821cf178
0x821CF418,FUN_821cf418
0x821CF560,FUN_821cf560
0x821CF988,FUN_821cf988
0x821D04C8,FUN_821d04c8
0x821D0630,FUN_821d0630
0x821D0640,FUN_821d0640
0x821D0690,FUN_821d0690
0x821D06F0,FUN_821d06f0
0x821D0848,FUN_821d0848
0x821D08E0,FUN_821d08e0
0x821D0A58,FUN_821d0a58
0x821D0DD0,FUN_821d0dd0
0x821D0F08,FUN_821d0f08
0x821D1208,FUN_821d1208
0x821D12A8,FUN_821d12a8
0x821D1330,FUN_821d1330
0x821D13E8,FUN_821d13e8
0x821D1460,FUN_821d1460
0x821D1490,FUN_821d1490
0x821D1528,FUN_821d1528
0x821D1590,FUN_821d1590
0x821D15D0,FUN_821d15d0
0x821D1620,FUN_821d1620
0x821D16A0,FUN_821d16a0
0x821D1920,FUN_821d1920
0x821D19A8,FUN_821d19a8
0x821D19E0,FUN_821d19e0
0x821D1A68,FUN_821d1a68
0x821D1A78,FUN_821d1a78
0x821D1B50,FUN_821d1b50
0x821D1B68,FUN_821d1b68
0x821D1BB8,FUN_821d1bb8
0x821D1CC8,FUN_821d1cc8
0x821D1CE0,FUN_821d1ce0
0x821D1DB0,FUN_821d1db0
0x821D1E18,FUN_821d1e18
0x821D1E68,FUN_821d1e68
0x821D1EA8,FUN_821d1ea8
0x821D2018,FUN_821d2018
0x821D2088,thunk_FUN_827d4ce8
0x821D2090,FUN_821d2090
0x821D20B8,FUN_821d20b8
0x821D2150,FUN_821d2150
0x821D23C0,FUN_821d23c0
0x821D2630,FUN_821d2630
0x821D2678,FUN_821d2678
0x821D2B58,FUN_821d2b58
0x821D2C48,FUN_821d2c48
0x821D2D78,FUN_821d2d78
0x821D2F50,FUN_821d2f50
0x821D3358,FUN_821d3358
0x821D33C8,FUN_821d33c8
0x821D35F8,FUN_821d35f8
0x821D3768,FUN_821d3768
0x821D38E0,FUN_821d38e0
0x821D3B88,FUN_821d3b88
0x821D3D28,FUN_821d3d28
0x821D3F28,FUN_821d3f28
0x821D4040,FUN_821d4040
0x821D4478,FUN_821d4478
0x821D4730,FUN_821d4730
0x821D4828,FUN_821d4828
0x821D4898,FUN_821d4898
0x821D5C78,FUN_821d5c78
0x821D5FF8,FUN_821d5ff8
0x821D61E0,FUN_821d61e0
0x821D64C0,FUN_821d64c0
0x821D6798,FUN_821d6798
0x821D67C8,FUN_821d67c8
0x821D6C58,FUN_821d6c58
0x821D6D30,FUN_821d6d30
0x821D6DE0,FUN_821d6de0
0x821D6E30,FUN_821d6e30
0x821D6F58,FUN_821d6f58
0x821D6FE0,FUN_821d6fe0
0x821D7040,FUN_821d7040
0x821D7138,FUN_821d7138
0x821D7258,FUN_821d7258
0x821D8058,FUN_821d8058
0x821D8358,FUN_821d8358
0x821D8398,FUN_821d8398
0x821D83D0,FUN_821d83d0
0x821D8408,FUN_821d8408
0x821D94B8,FUN_821d94b8
0x821DA6E8,FUN_821da6e8
0x821DA778,FUN_821da778
0x821DA7C0,FUN_821da7c0
0x821DA860,FUN_821da860
0x821DA8A0,FUN_821da8a0
0x821DA8E0,FUN_821da8e0
0x821DAAD8,FUN_821daad8
0x821DAE88,FUN_821dae88
0x821DB0A8,FUN_821db0a8
0x821DC1E8,FUN_821dc1e8
0x821DCBA0,FUN_821dcba0
0x821DCC98,FUN_821dcc98
0x821DCD38,FUN_821dcd38
0x821DCE40,FUN_821dce40
0x821DCE80,FUN_821dce80
0x821DCEC0,FUN_821dcec0
0x821DCF68,FUN_821dcf68
0x821DCFC8,FUN_821dcfc8
0x821DD028,FUN_821dd028
0x821DD0A0,FUN_821dd0a0
0x821DD0E0,FUN_821dd0e0
0x821DD120,FUN_821dd120
0x821DD160,FUN_821dd160
0x821DD1A0,FUN_821dd1a0
0x821DD1E8,FUN_821dd1e8
0x821DD228,FUN_821dd228
0x821DD2C0,FUN_821dd2c0
0x821DD718,FUN_821dd718
0x821DE770,FUN_821de770
0x821DEAF0,FUN_821deaf0
0x821DF028,FUN_821df028
0x821DF0E8,FUN_821df0e8
0x821DF770,FUN_821df770
0x821DF838,FUN_821df838
0x821DF9B0,FUN_821df9b0
0x821DFCE0,FUN_821dfce0
0x821DFD18,FUN_821dfd18
0x821DFD48,FUN_821dfd48
0x821DFD88,FUN_821dfd88
0x821DFE70,FUN_821dfe70
0x821DFF58,FUN_821dff58
0x821DFFB8,FUN_821dffb8
0x821E0008,FUN_821e0008
0x821E0020,FUN_821e0020
0x821E0068,FUN_821e0068
0x821E00C0,FUN_821e00c0
0x821E0398,FUN_821e0398
0x821E03B0,FUN_821e03b0
0x821E0408,FUN_821e0408
0x821E0550,FUN_821e0550
0x821E0730,FUN_821e0730
0x821E0840,FUN_821e0840
0x821E0E88,FUN_821e0e88
0x821E0F08,FUN_821e0f08
0x821E0F78,FUN_821e0f78
0x821E0FF8,FUN_821e0ff8
0x821E1220,FUN_821e1220
0x821E1238,FUN_821e1238
0x821E1260,FUN_821e1260
0x821E1428,FUN_821e1428
0x821E1A40,FUN_821e1a40
0x821E1D68,FUN_821e1d68
0x821E23A0,FUN_821e23a0
0x821E2428,FUN_821e2428
0x821E24D0,thunk_FUN_821dfd88
0x821E24D8,thunk_FUN_821dfe70
0x821E24E0,FUN_821e24e0
0x821E2660,FUN_821e2660
0x821E28A0,FUN_821e28a0
0x821E28F0,FUN_821e28f0
0x821E2960,FUN_821e2960
0x821E2B50,FUN_821e2b50
0x821E35D0,FUN_821e35d0
0x821E3870,FUN_821e3870
0x821E3AD8,FUN_821e3ad8
0x821E3B30,FUN_821e3b30
0x821E3BA0,FUN_821e3ba0
0x821E3C40,FUN_821e3c40
0x821E3FA8,FUN_821e3fa8
0x821E4448,FUN_821e4448
0x821E4500,FUN_821e4500
0x821E4730,FUN_821e4730
0x821E47F8,FUN_821e47f8
0x821E48F8,FUN_821e48f8
0x821E4B20,FUN_821e4b20
0x821E4B90,FUN_821e4b90
0x821E4D60,FUN_821e4d60
0x821E5D00,FUN_821e5d00
0x821E6310,FUN_821e6310
0x821E9658,FUN_821e9658
0x821E98F8,FUN_821e98f8
0x821E9A58,FUN_821e9a58
0x821E9B18,FUN_821e9b18
0x821E9CC0,FUN_821e9cc0
0x821E9D48,FUN_821e9d48
0x821E9DD0,FUN_821e9dd0
0x821E9E58,FUN_821e9e58
0x821E9EE0,FUN_821e9ee0
0x821E9F68,FUN_821e9f68
0x821E9FF0,FUN_821e9ff0
0x821EA0B8,FUN_821ea0b8
0x821EA530,FUN_821ea530
0x821EA550,FUN_821ea550
0x821EA620,FUN_821ea620
0x821EB1E0,FUN_821eb1e0
0x821EB228,FUN_821eb228
0x821EB330,FUN_821eb330
0x821EB438,FUN_821eb438
0x821EB658,FUN_821eb658
0x821EB700,FUN_821eb700
0x821EB7F0,FUN_821eb7f0
0x821EBB60,FUN_821ebb60
0x821EBC48,FUN_821ebc48
0x821EBDB8,FUN_821ebdb8
0x821EBF18,FUN_821ebf18
0x821EBFB8,FUN_821ebfb8
0x821EC0C8,FUN_821ec0c8
0x821EC5C8,FUN_821ec5c8
0x821EC6A8,FUN_821ec6a8
0x821EC6C0,FUN_821ec6c0
0x821ED1D0,FUN_821ed1d0
0x821EE130,FUN_821ee130
0x821EE5C8,FUN_821ee5c8
0x821EE6C0,FUN_821ee6c0
0x821EE798,FUN_821ee798
0x821EE870,FUN_821ee870
0x821EEA40,FUN_821eea40
0x821EEC30,FUN_821eec30
0x821EEC88,FUN_821eec88
0x821EECE0,FUN_821eece0
0x821EED38,FUN_821eed38
0x821EF960,FUN_821ef960
0x821EF9B8,FUN_821ef9b8
0x821EFA10,FUN_821efa10
0x821EFA68,FUN_821efa68
0x821EFE50,FUN_821efe50
0x821F0EF8,FUN_821f0ef8
0x821F0FE8,FUN_821f0fe8
0x821F1360,FUN_821f1360
0x821F1450,FUN_821f1450
0x821F14A8,FUN_821f14a8
0x821F1BB8,FUN_821f1bb8
0x821F1D30,FUN_821f1d30
0x821F2C10,FUN_821f2c10
0x821F3378,FUN_821f3378
0x821F34D0,FUN_821f34d0
0x821F3DC8,FUN_821f3dc8
0x821F51B8,FUN_821f51b8
0x821F5238,FUN_821f5238
0x821F67E8,FUN_821f67e8
0x821F6D60,FUN_821f6d60
0x821F6F40,FUN_821f6f40
0x821F70D0,FUN_821f70d0
0x821F7D10,FUN_821f7d10
0x821F86E0,FUN_821f86e0
0x821F9638,FUN_821f9638
0x821FD460,FUN_821fd460
0x821FD4F0,FUN_821fd4f0
0x821FD8F0,FUN_821fd8f0
0x821FD978,FUN_821fd978
0x821FE670,FUN_821fe670
0x821FE6C0,FUN_821fe6c0
0x821FE710,FUN_821fe710
0x821FE760,FUN_821fe760
0x821FEBD8,FUN_821febd8
0x821FEBF8,FUN_821febf8
0x821FECD0,FUN_821fecd0
0x821FECE0,FUN_821fece0
0x821FED18,FUN_821fed18
0x821FF740,FUN_821ff740
0x821FFB90,FUN_821ffb90
0x821FFBC8,FUN_821ffbc8
0x821FFC60,FUN_821ffc60
0x821FFCE0,FUN_821ffce0
0x82200EB8,FUN_82200eb8
0x82202300,FUN_82202300
0x82202538,FUN_82202538
0x822025A8,FUN_822025a8
0x82202BE8,FUN_82202be8
0x82203368,FUN_82203368
0x82203E68,FUN_82203e68
0x82204648,FUN_82204648
0x82204770,FUN_82204770
0x82204E58,FUN_82204e58
